State,Offenses,Median Income,Education Level,High_School_Rate,Bachelor_Rate,Citizenship Status,Race/Ethnicity,Political Party,Unemployment Rate,Population,Cost of Living
Alabama,0,51734,30.23,86.2,25.5,0.98,0.654,Republican,0.03,85670,89.3
Alaska,17,75463,49.19,92.8,29.6,0.971,0.6,Republican,0.062,727792,129.9
Arizona,254,62055,42.61,87.1,29.5,0.926,0.542,Republican,0.049,6395924,97
Arkansas,10,48952,27.9,86.6,23,0.968,0.721,Republican,0.035,2813597,86.9
California,1221,80440,50.03,83.3,33.9,0.875,0.364,Democrat,0.04,39502561,151.7
Colorado,257,77127,67.97,91.7,40.9,0.952,0.678,Democrat,0.027,5705335,105.6
Connecticut,86,78833,68.22,90.6,39.3,0.932,0.657,Democrat,0.036,3373874,127.7
Delaware,27,70176,55.4,90,32,0.948,0.614,Democrat,0.035,973764,108.1
District of Columbia,247,92266,N/A,N/A,N/A,0.939,0.367,Democrat,0.054,705749,N/A
Florida,131,59227,48.86,88.2,29.9,0.909,0.53,Republican,0.032,20901840,97.9
Georgia,123,61980,44.96,87.1,31.3,0.944,0.52,Republican,0.035,9290789,89.2
Hawaii,51,83102,55.65,92,33,0.923,0.204,Democrat,0.027,974902,192.9
Idaho,38,60999,41.66,90.8,27.6,0.971,0.816,Republican,0.029,1782402,92.3
Illinois,95,69187,55.62,89.2,34.7,0.935,0.609,Democrat,0.039,12125954,94.5
Indiana,87,57603,41.82,88.8,26.5,0.969,0.786,Republican,0.032,3643904,90
Iowa,13,61691,49.69,92.1,28.6,0.971,0.853,Republican,0.025,3135918,90.1
Kansas,99,62087,53.31,91,33.4,0.958,0.757,Democrat,0.032,2610898,89
Kentucky,179,52295,32.15,86.3,24.2,0.975,0.845,Democrat,0.044,4460061,90.9
Louisiana,33,51073,22.57,85.2,24.1,0.977,0.588,Democrat,0.043,3536544,93.9
Maine,24,58924,54.91,92.6,31.8,0.986,0.932,Democrat,0.029,1344212,117.5
Maryland,18,86738,73.21,90.2,40.2,0.927,0.499,Republican,0.037,6045680,129.7
Massachusetts,441,85843,80.06,90.8,43.7,0.921,0.705,Republican,0.029,6772985,131.6
Michigan,495,59584,48.66,90.8,29.1,0.969,0.749,Democrat,0.042,9969410,88.9
Minnesota,123,74593,65.57,93.1,36.1,0.966,0.791,Democrat,0.032,5533121,101.6
Mississippi,15,45792,19.32,84.5,22,0.988,0.566,Republican,0.054,882028,86.1
Missouri,106,57409,44.5,89.9,29.2,0.979,0.794,Republican,0.031,6077911,87.1
Montana,35,57153,53.37,93.6,32,0.99,0.861,Republican,0.033,1055460,106.9
Nebraska,57,63229,52.08,91.4,31.9,0.955,0.785,Republican,0.031,1813150,90.8
Nevada,53,63276,33.31,86.7,24.7,0.9,0.478,Democrat,0.041,3070743,108.5
New Hampshire,17,77933,66.32,93.1,37,0.972,0.898,Republican,0.025,1313554,109.7
New Jersey,478,85751,62.93,89.8,39.7,0.902,0.545,Democrat,0.031,8638072,125.1
New Mexico,63,51945,36.32,85.6,27.3,0.95,0.367,Democrat,0.049,819112,87.5
New York,618,72108,56.73,86.8,36.6,0.908,0.552,Democrat,0.039,18949575,139.1
North Carolina,248,57341,46.03,87.8,31.3,0.951,0.627,Democrat,0.041,8740258,94.9
North Dakota,20,64577,52.02,92.6,30,0.98,0.841,Republican,0.025,762062,98.8
Ohio,428,58642,45.08,90.4,28.3,0.978,0.786,Republican,0.042,9730885,90.8
Oklahoma,30,54449,34.43,88,25.5,0.964,0.65,Republican,0.032,3946211,87
Oregon,205,67058,55.71,90.7,33.7,0.949,0.75,Democrat,0.041,4056079,134.2
Pennsylvania,50,63463,48.74,90.5,31.4,0.969,0.76,Democrat,0.04,12585495,101.7
Rhode Island,21,71169,52.95,88.8,34.2,0.942,0.705,Democrat,0.036,1058329,119.4
South Carolina,82,56227,34.77,87.5,28.1,0.968,0.637,Republican,0.029,5081688,95.9
South Dakota,21,59533,44.12,91.7,28.8,0.979,0.819,Republican,0.03,848738,99.8
Tennessee,152,56071,35.85,87.5,27.3,0.968,0.736,Republican,0.034,6830634,88.7
Texas,560,64034,37.12,83.7,29.9,0.896,0.411,Republican,0.034,28885669,91.5
Utah,34,75780,64.53,92.3,34,0.951,0.778,Republican,0.027,3077345,98.4
Vermont,37,63001,70.07,92.7,38,0.983,0.928,Republican,0.022,628664,114.5
Virginia,185,76456,66.98,89.7,38.8,0.94,0.613,Democrat,0.027,8533624,100.7
Washington,664,78687,63.77,91.3,36,0.92,0.675,Democrat,0.046,7587677,110.7
West Virginia,36,48850,21.02,86.9,20.6,0.993,0.925,Republican,0.047,1574978,91.1
Wisconsin,83,64168,53.23,92.2,30.1,0.973,0.811,Democrat,0.032,5810699,97.3
Wyoming,6,65003,51.25,93.2,27.4,0.983,0.838,Republican,0.038,512713,89.3
Puerto Rico,N/A,20474,N/A,N/A,N/A,0.986,0.013,N/A,0.076,N/A,N/A
