State,Case,Population,hate_crime_per_100k,year
Alabama,0,85670,0,2019
Alaska,17,727792,2.33583221579792,2019
Arizona,254,6395924,3.97127920844588,2019
Arkansas,10,2813597,0.355416927157656,2019
California,1221,39502561,3.09093883811736,2019
Colorado,257,5705335,4.50455582362824,2019
Connecticut,86,3373874,2.54899856959685,2019
Delaware,27,973764,2.77274575769899,2019
District of Columbia,247,705749,34.9982784247657,2019
Florida,131,20901840,0.626739081344035,2019
Georgia,123,9290789,1.323891867526,2019
Idaho,38,1782402,2.13195451979969,2019
Illinois,95,12125954,0.783443512980504,2019
Indiana,87,3643904,2.38754917802445,2019
Iowa,13,3135918,0.414551656006311,2019
Kansas,99,2610898,3.79179883702849,2019
Kentucky,179,4460061,4.01339802303152,2019
Louisiana,33,3536544,0.933114362496268,2019
Maine,24,1344212,1.78543265496812,2019
Maryland,18,6045680,0.297733257466488,2019
Massachusetts,441,6772985,6.51116162223894,2019
Michigan,495,9969410,4.96518851165716,2019
Minnesota,123,5533121,2.22297686965458,2019
Mississippi,15,882028,1.70062628397284,2019
Missouri,106,6077911,1.7440202727549,2019
Montana,35,1055460,3.3160896670646,2019
Nebraska,57,1813150,3.14370019027659,2019
Nevada,53,3070743,1.72596664715999,2019
New Hampshire,17,1313554,1.29419879197962,2019
New Jersey,478,8638072,5.53364222942342,2019
New Mexico,63,819112,7.69125589662952,2019
New York,618,18949575,3.26128686263412,2019
North Carolina,248,8740258,2.83744484430551,2019
North Dakota,20,762062,2.62445837740236,2019
Ohio,428,9730885,4.39836664393835,2019
Oklahoma,30,3946211,0.760222907492782,2019
Oregon,205,4056079,5.05414219003131,2019
Pennsylvania,50,12585495,0.397282744937724,2019
Rhode Island,21,1058329,1.98426009303345,2019
South Carolina,82,5081688,1.61363704343911,2019
South Dakota,21,848738,2.47426178632275,2019
Tennessee,152,6830634,2.22526927954272,2019
Texas,560,28885669,1.93867761899508,2019
Utah,34,3077345,1.10484849764976,2019
Vermont,37,628664,5.88549686318924,2019
Virginia,185,8533624,2.16789490607976,2019
Washington,664,7587677,8.75103144216603,2019
West Virginia,36,1574978,2.2857462135979,2019
Wisconsin,83,5810699,1.42839957808863,2019
Wyoming,6,512713,1.17024534193594,2019
Alabama,0,1865517,0,2018
Alaska,8,733747,1.09029406593826,2018
Arizona,211,7135285,2.95713485866367,2018
Arkansas,14,2874960,0.486963296880652,2018
California,1222,39520441,3.09207075902822,2018
Colorado,176,5512017,3.1930235338534,2018
Connecticut,92,3150064,2.92057558195643,2018
Delaware,18,962453,1.87022119521681,2018
District of Columbia,236,702455,33.5964581361084,2018
Florida,166,20922562,0.793401878794767,2018
Georgia,41,8497512,0.482494170058248,2018
Idaho,26,1738946,1.49515856156545,2018
Illinois,139,11942645,1.16389627255939,2018
Indiana,226,3004204,7.52279139499182,2018
Iowa,16,3042074,0.525956962256671,2018
Kansas,87,2561072,3.39701499996876,2018
Kentucky,288,4448098,6.47467749136822,2018
Louisiana,59,3528527,1.67208583071633,2018
Maine,22,1338404,1.64374882322527,2018
Maryland,52,6039822,0.860952524759836,2018
Massachusetts,474,6730168,7.04291482768335,2018
Michigan,495,9948030,4.97585954203998,2018
Minnesota,159,5484503,2.89907763748146,2018
Mississippi,5,720646,0.693821931988799,2018
Missouri,80,5919676,1.35142531449356,2018
Montana,7,1062359,0.658910970773533,2018
Nebraska,35,1781091,1.96508769063456,2018
Nevada,37,3034392,1.21935465160731,2018
New Hampshire,19,1317257,1.44239127216633,2018
New Jersey,577,8908520,6.47694566549775,2018
New Mexico,34,1915743,1.77476832748443,2018
New York,525,19348748,2.71335385628052,2018
North Carolina,202,10330057,1.9554587162491,2018
North Dakota,10,760650,1.31466508906856,2018
Ohio,390,9774082,3.99014454759025,2018
Oklahoma,25,3621189,0.690380977076866,2018
Oregon,139,4012987,3.463754056517,2018
Pennsylvania,75,12712213,0.589983821070336,2018
Rhode Island,15,1056281,1.42007666520557,2018
South Carolina,123,4960159,2.47975921739606,2018
South Dakota,26,806540,3.22364668832296,2018
Tennessee,207,6737273,3.07245973259507,2018
Texas,500,27845758,1.79560563587459,2018
Utah,36,3068388,1.17325449063156,2018
Vermont,48,630980,7.60721417477575,2018
Virginia,159,8510090,1.86837036976107,2018
Washington,666,7479358,8.90450757939385,2018
West Virginia,51,1573786,3.24059306665582,2018
Wisconsin,59,5767760,1.02292744496997,2018
Wyoming,0,552818,0,2018
Alabama,9,2918324,0.308396189045493,2017
Alaska,4,736205,0.543326926603324,2017
Arizona,328,6755795,4.85509107366343,2017
Arkansas,8,2836240,0.282063577130285,2017
California,1270,39529144,3.21281938207415,2017
Colorado,136,5575629,2.43918668189724,2017
Connecticut,122,3588184,3.40004860397349,2017
Delaware,30,961939,3.11870087396394,2017
District of Columbia,207,693972,29.8282927841469,2017
Florida,166,20515334,0.809150852723139,2017
Georgia,230,8948013,2.57040306043364,2017
Idaho,61,1699259,3.58980002459896,2017
Illinois,94,12270234,0.766081559650778,2017
Indiana,62,2287298,2.71062187786637,2017
Iowa,12,3104739,0.386505918855015,2017
Kansas,83,2620785,3.16699004305962,2017
Kentucky,432,4444239,9.72044932777018,2017
Louisiana,30,3764930,0.796827563859089,2017
Maine,40,1335907,2.9942204060612,2017
Maryland,53,6052177,0.875717944138118,2017
Massachusetts,486,6703220,7.25024689626776,2017
Michigan,515,9928921,5.18686773718917,2017
Minnesota,169,5508515,3.06797748576522,2017
Mississippi,4,682046,0.586470707254349,2017
Missouri,133,6109596,2.17690335007421,2017
Montana,18,1050005,1.71427755105928,2017
Nebraska,46,1865845,2.46537091773432,2017
Nevada,7,2998039,0.23348595531946,2017
New Hampshire,16,1295556,1.23499100000309,2017
New Jersey,502,9005644,5.57428208354672,2017
New Mexico,14,561375,2.49387664217324,2017
New York,559,19685625,2.83963552084325,2017
North Carolina,230,10271767,2.23914736383721,2017
North Dakota,17,754604,2.25283724973629,2017
Ohio,449,9703884,4.62701326602832,2017
Oklahoma,49,3916111,1.25124134632547,2017
Oregon,169,3902529,4.33052515432941,2017
Pennsylvania,93,12730580,0.730524453716956,2017
Rhode Island,11,1059639,1.03808938704597,2017
South Carolina,94,4996532,1.88130487305995,2017
South Dakota,19,799083,2.37772546781749,2017
Tennessee,179,6715984,2.66528330025801,2017
Texas,219,28096894,0.779445585693565,2017
Utah,94,3056326,3.07558814079388,2017
Vermont,36,623657,5.772403741159,2017
Virginia,214,8467744,2.52723747907353,2017
Washington,613,7396166,8.28807790414655,2017
West Virginia,34,1591058,2.1369428392931,2017
Wisconsin,48,5767235,0.832287916133121,2017
Wyoming,23,553149,4.15801167497365,2017
Alabama,17,1013839,1.67679483626098,2016
Alaska,13,738566,1.76016767628079,2016
Arizona,291,6361910,4.57409803030851,2016
Arkansas,15,2853645,0.525643519078232,2016
California,1142,39242633,2.91010034928084,2016
Colorado,126,5519770,2.28270380831085,2016
Connecticut,124,3576452,3.46712328307496,2016
Delaware,19,952065,1.9956620608887,2016
District of Columbia,127,681170,18.6443912679654,2016
Florida,110,8988095,1.22384109202228,2016
Georgia,46,8216137,0.559873819046591,2016
